V1
CP013381.1 Burkholderia sp. Bp5365 strain MSMB43 plasmid pMSMB43 complete sequence
CP013357.1 Burkholderia oklahomensis EO147 chromosome 1 complete sequence
CP013356.1 Burkholderia oklahomensis EO147 chromosome 2 complete sequence
CP013358.1 Burkholderia oklahomensis C6786 chromosome 1 complete sequence
CP013359.1 Burkholderia oklahomensis C6786 chromosome 2 complete sequence
CP013373.1 Burkholderia sp. NRF60-BP8 chromosome 1 complete sequence
CP013372.1 Burkholderia sp. NRF60-BP8 chromosome 2 complete sequence
CP013374.1 Burkholderia sp. NRF60-BP8 chromosome 3 complete sequence
CP013389.1 Burkholderia sp. BDU8 chromosome 1 complete sequence
CP013388.1 Burkholderia sp. BDU8 chromosome 2 complete sequence
CP013386.1 Burkholderia sp. BDU6 chromosome 1 complete sequence
CP013387.1 Burkholderia sp. BDU6 chromosome 2 complete sequence
CP013384.1 Burkholderia sp. LA-2-3-30-S1-D2 chromosome 1 complete sequence
CP013383.1 Burkholderia sp. LA-2-3-30-S1-D2 chromosome 2 complete sequence
CP013385.1 Burkholderia sp. LA-2-3-30-S1-D2 chromosome 3 complete sequence
CP013417.1 Burkholderia sp. MSMB0266 chromosome 1 complete sequence
CP013418.1 Burkholderia sp. MSMB0266 chromosome 2 complete sequence
CP013419.1 Burkholderia sp. MSMB0266 plasmid pMSMB0266 complete sequence
CP013424.1 Burkholderia sp. MSMB0852 chromosome 1 complete sequence
CP013425.1 Burkholderia sp. MSMB0852 chromosome 2 complete sequence
CP013423.1 Burkholderia sp. MSMB0852 plasmid pMSMB0852 complete sequence
CP013427.1 Burkholderia sp. MSMB0856 chromosome 1 complete sequence
CP013428.1 Burkholderia sp. MSMB0856 chromosome 2 complete sequence
CP013429.1 Burkholderia sp. MSMB0856 chromosome 3 complete sequence
CP013426.1 Burkholderia sp. MSMB0856 plasmid pMSMB0856 complete sequence
CP013457.1 Burkholderia sp. MSMB617WGS chromosome 1 complete sequence
CP013458.1 Burkholderia sp. MSMB617WGS chromosome 2 complete sequence
CP014306.1 Burkholderia sp. PAMC 26561 chromosome 1 complete sequence
CP014307.1 Burkholderia sp. PAMC 26561 chromosome 2 complete sequence
CP014315.1 Burkholderia sp. PAMC 26561 chromosome 3 complete sequence
CP014308.1 Burkholderia sp. PAMC 26561 plasmid unnamed1 complete sequence
CP014309.1 Burkholderia sp. PAMC 26561 plasmid unnamed2 complete sequence
CP014310.1 Burkholderia sp. PAMC 26561 plasmid unnamed3 complete sequence
CP014311.1 Burkholderia sp. PAMC 26561 plasmid unnamed4 complete sequence
CP014312.1 Burkholderia sp. PAMC 26561 plasmid unnamed5 complete sequence
CP014505.1 Burkholderia sp. PAMC 28687 strain PAMC28687 chromosome 1 complete sequence
CP014508.1 Burkholderia sp. PAMC 28687 strain PAMC28687 plasmid 1 complete sequence
CP014506.1 Burkholderia sp. PAMC 28687 strain PAMC28687 chromosome 2 complete sequence
CP014509.1 Burkholderia sp. PAMC 28687 strain PAMC28687 plasmid 2 complete sequence
CP014507.1 Burkholderia sp. PAMC 28687 strain PAMC28687 chromosome 3 complete sequence
CP014510.1 Burkholderia sp. PAMC 28687 strain PAMC28687 plasmid 3 complete sequence
CP014511.1 Burkholderia sp. PAMC 28687 strain PAMC28687 plasmid 4 complete sequence
CP014512.1 Burkholderia sp. PAMC 28687 strain PAMC28687 plasmid 5 complete sequence
CP015033.1 Burkholderia cenocepacia strain 842 chromosome 1 complete sequence
CP015034.1 Burkholderia cenocepacia strain 842 chromosome 2 complete sequence
CP015035.1 Burkholderia cenocepacia strain 842 chromosome 3 complete sequence
CP015032.1 Burkholderia cenocepacia strain 842 plasmid pBcn842-1 complete sequence
CP015036.1 Burkholderia cenocepacia strain 895 chromosome 1 complete sequence
CP015037.1 Burkholderia cenocepacia strain 895 chromosome 2 complete sequence
CP015038.1 Burkholderia cenocepacia strain 895 plasmid pBcp895-1 complete sequence
CP014578.1 Burkholderia sp. OLGA172 chromosome 1 complete sequence
CP014579.1 Burkholderia sp. OLGA172 chromosome 2 complete sequence
CP014580.1 Burkholderia sp. OLGA172 plasmid pOLGA1 complete sequence
CP014581.1 Burkholderia sp. OLGA172 plasmid pOLGA2 complete sequence
CP014582.1 Burkholderia sp. OLGA172 plasmid pOLGA3 complete sequence
CP015403.2 Burkholderiales bacterium YL45 chromosome complete genome
CP016638.1 Burkholderia pseudomallei strain M1 chromosome 1 complete sequence
CP016639.1 Burkholderia pseudomallei strain M1 chromosome 2 complete sequence
CP016636.1 Burkholderia pseudomallei strain MS chromosome 1 complete sequence
CP016637.1 Burkholderia pseudomallei strain MS chromosome 2 complete sequence
CP013360.1 Burkholderia thailandensis strain 2003015869 chromosome 1 complete sequence
CP013361.1 Burkholderia thailandensis strain 2003015869 chromosome 2 complete sequence
